R,hr,Value1,Value2
2.8,31,-1.65237,1.39466
2.8,32,-1.7492,1.4789
2.8,33,-1.86723,1.57681
2.8,34,-2.0036,1.69517
2.8,35,-2.16845,1.8331
2.8,36,-2.42626,2.06574
2.8,37,-2.66514,2.26121
2.8,38,-2.94915,2.49855
2.8,39,-3.35133,2.84079
2.8,40,-3.77427,3.1906
2.8,41,-4.34001,3.65023
2.8,42,-4.9668,4.14377
2.8,43,-5.77794,4.77138
2.8,44,-6.7566,5.50085
2.8,45,-7.88474,6.31374
2.8,46,-9.3614,7.3243
2.8,47,-11.0571,8.42186
2.8,48,-13.0724,9.6442
2.8,49,-15.2555,10.8735
2.8,50,-17.2338,11.9407
2.9,5,-0.628156,0.5228
2.9,6,-0.81629,0.588928
2.9,7,-0.702741,0.599133
2.9,8,-0.762213,0.64486
2.9,9,-0.775505,0.658793
2.9,10,-0.789048,0.668766
2.9,11,-0.80475,0.680813
2.9,12,-0.819864,0.693418
2.9,13,-0.835339,0.706245
2.9,14,-0.851203,0.719504
2.9,15,-0.868112,0.733225
2.9,16,-0.886153,0.748258
2.9,17,-0.910271,0.767839
2.9,18,-0.929873,0.783759
2.9,19,-0.951098,0.800121
2.9,20,-0.97217,0.818775
2.9,21,-0.9963,0.838758
2.9,22,-1.08066,0.929664
2.9,23,-1.11453,0.952879
2.9,24,-1.1543,0.979379
2.9,25,-1.19635,1.01372
2.9,26,-1.23858,1.05016
2.9,27,-1.28835,1.09316
2.9,28,-1.34179,1.13846
2.9,29,-1.40434,1.19365
2.9,30,-1.47961,1.25768
2.9,31,-1.63349,1.39501
2.9,32,-1.73493,1.48432
2.9,33,-1.85895,1.58856
2.9,34,-2.00159,1.71395
2.9,35,-2.17358,1.85929
2.9,36,-2.44119,2.10177
2.9,37,-2.68852,2.30617
2.9,38,-2.98606,2.55593
2.9,39,-3.39547,2.90598
2.9,40,-3.82752,3.26368
2.9,41,-4.39938,3.73006
2.9,42,-5.0306,4.22804
2.9,43,-5.84273,4.85808
2.9,44,-6.81374,5.59233
2.9,45,-7.92302,6.38365
2.9,46,-9.36206,7.37603
2.9,47,-10.996,8.43565
2.9,48,-12.9083,9.60483
2.9,49,-14.9123,10.7575
2.9,50,-16.6262,11.7237
3.0,5,-0.606385,0.508986
3.0,6,-0.791294,0.572715
3.0,7,-0.677722,0.582469
3.0,8,-0.736991,0.629974
3.0,9,-0.749764,0.642095
3.0,10,-0.762946,0.652084
3.0,11,-0.776757,0.663619
3.0,12,-0.791243,0.675689
3.0,13,-0.806656,0.688143
3.0,14,-0.821626,0.700812
3.0,15,-0.838231,0.714114
3.0,16,-0.855951,0.728713
3.0,17,-0.879113,0.747876
3.0,18,-0.898102,0.763525
3.0,19,-0.911373,0.783159
3.0,20,-0.931524,0.802081
3.0,21,-0.96396,0.819048
3.0,22,-1.04843,0.910173
3.0,23,-1.08293,0.934592
3.0,24,-1.12396,0.961619
3.0,25,-1.16564,1.00006
3.0,26,-1.21368,1.04005
3.0,27,-1.26234,1.08232
3.0,28,-1.31843,1.13069
3.0,29,-1.38556,1.18925
3.0,30,-1.46275,1.25729
3.0,31,-1.62201,1.40031
3.0,32,-1.7302,1.49346
3.0,33,-1.85775,1.60593
3.0,34,-2.0069,1.73664
3.0,35,-2.18672,1.89028
3.0,36,-2.4649,2.13974
3.0,37,-2.71491,2.35258
3.0,38,-3.02169,2.61285
3.0,39,-3.44072,2.96985
3.0,40,-3.87903,3.33451
3.0,41,-4.46109,3.80758
3.0,42,-5.09324,4.30576
3.0,43,-5.91042,4.94534
3.0,44,-6.86436,5.66588
3.0,45,-7.95355,6.44413
3.0,46,-9.35439,7.41299
3.0,47,-10.9232,8.43708
3.0,48,-12.7262,9.55194
3.0,49,-14.5666,10.6299
3.0,50,-16.0399,11.4966
3.1,5,-0.585414,0.495209
3.1,6,-0.768701,0.557354
3.1,7,-0.653969,0.566089
3.1,8,-0.714553,0.614101
3.1,9,-0.725675,0.626034
3.1,10,-0.738445,0.635981
3.1,11,-0.75298,0.647115
3.1,12,-0.766646,0.658766
3.1,13,-0.780592,0.670585
3.1,14,-0.795462,0.682981
3.1,15,-0.810902,0.696198
3.1,16,-0.828272,0.710714
3.1,17,-0.850879,0.729616
3.1,18,-0.869693,0.745382
3.1,19,-0.890567,0.761797
3.1,20,-0.911972,0.780769
3.1,21,-0.935728,0.801809
3.1,22,-1.02054,0.893793
3.1,23,-1.05598,0.919434
3.1,24,-1.09834,0.948034
3.1,25,-1.1417,0.98825
3.1,26,-1.19128,1.03068
3.1,27,-1.2425,1.07556
3.1,28,-1.30171,1.12736
3.1,29,-1.37161,1.18906
3.1,30,-1.45254,1.26118
3.1,31,-1.61771,1.41059
3.1,32,-1.73099,1.5087
3.1,33,-1.86503,1.62595
3.1,34,-2.0193,1.76424
3.1,35,-2.20587,1.92429
3.1,36,-2.49191,2.18357
3.1,37,-2.75377,2.40407
3.1,38,-3.06216,2.66509
3.1,39,-3.49087,3.03432
3.1,40,-3.93479,3.40401
3.1,41,-4.52137,3.88153
3.1,42,-5.1544,4.38085
3.1,43,-5.96029,5.01001
3.1,44,-6.90915,5.73068
3.1,45,-7.97621,6.49417
3.1,46,-9.33727,7.43898
3.1,47,-10.8406,8.42593
3.1,48,-12.5417,9.48843
3.1,49,-14.2201,10.4942
3.1,50,-15.4618,11.271
3.2,5,-0.566067,0.481594
3.2,6,-0.566905,0.480698
3.2,7,-0.679964,0.588001
3.2,8,-0.692056,0.600119
3.2,9,-0.703771,0.610103
3.2,10,-0.716791,0.621256
3.2,11,-0.72907,0.631803
3.2,12,-0.742547,0.64303
3.2,13,-0.756086,0.654596
3.2,14,-0.77053,0.666727
3.2,15,-0.785949,0.679667
3.2,16,-0.803085,0.694109
3.2,17,-0.825479,0.712964
3.2,18,-0.844258,0.728865
3.2,19,-0.864623,0.746329
3.2,20,-0.88647,0.765492
3.2,21,-0.911213,0.786983
3.2,22,-0.996785,0.880067
3.2,23,-1.03366,0.907509
3.2,24,-1.07731,0.937777
3.2,25,-1.12261,0.980401
3.2,26,-1.17431,1.02512
3.2,27,-1.2281,1.07274
3.2,28,-1.29012,1.12782
3.2,29,-1.3638,1.1934
3.2,30,-1.44853,1.26944
3.2,31,-1.61853,1.42335
3.2,32,-1.73767,1.52792
3.2,33,-1.87702,1.65081
3.2,34,-2.03767,1.79497
3.2,35,-2.23011,1.96151
3.2,36,-2.5254,2.22856
3.2,37,-2.793,2.45758
3.2,38,-3.10691,2.72206
3.2,39,-3.54452,3.09868
3.2,40,-3.99242,3.4721
3.2,41,-4.58081,3.95197
3.2,42,-5.21219,4.45062
3.2,43,-6.01298,5.0774
3.2,44,-6.9491,5.78751
3.2,45,-7.99074,6.53413
3.2,46,-9.31143,7.45475
3.2,47,-10.7472,8.40431
3.2,48,-12.346,9.41513
3.2,49,-13.8703,10.3507
3.2,50,-14.9027,11.0407
3.3,5,-0.546633,0.468384
3.3,6,-0.725205,0.527016
3.3,7,-0.609726,0.534554
3.3,8,-0.671707,0.586197
3.3,9,-0.681392,0.595711
3.3,10,-0.694013,0.605831
3.3,11,-0.706453,0.616411
3.3,12,-0.7195,0.627482
3.3,13,-0.733816,0.639473
3.3,14,-0.747602,0.651446
3.3,15,-0.763196,0.664635
3.3,16,-0.7803,0.679134
3.3,17,-0.802692,0.69808
3.3,18,-0.821667,0.714489
3.3,19,-0.835231,0.735014
3.3,20,-0.856343,0.755536
3.3,21,-0.890331,0.774842
3.3,22,-0.977187,0.869426
3.3,23,-1.01529,0.898652
3.3,24,-1.06056,0.930827
3.3,25,-1.10818,0.97557
3.3,26,-1.16209,1.02283
3.3,27,-1.21856,1.07347
3.3,28,-1.28383,1.13181
3.3,29,-1.36109,1.20128
3.3,30,-1.44939,1.28089
3.3,31,-1.62543,1.44091
3.3,32,-1.74907,1.55093
3.3,33,-1.89387,1.67907
3.3,34,-2.06017,1.82864
3.3,35,-2.25809,2.00077
3.3,36,-2.56074,2.27454
3.3,37,-2.83031,2.50603
3.3,38,-3.1561,2.78421
3.3,39,-3.596,3.15959
3.3,40,-4.04667,3.53661
3.3,41,-4.63747,4.01862
3.3,42,-5.26636,4.51512
3.3,43,-6.06703,5.14364
3.3,44,-6.98085,5.83665
3.3,45,-7.99603,6.56631
3.3,46,-9.27494,7.4609
3.3,47,-10.6461,8.3745
3.3,48,-12.142,9.33323
3.3,49,-13.5242,10.2018
3.3,50,-14.3604,10.8097
3.4,5,-0.52865,0.455601
3.4,6,-0.703541,0.51205
3.4,7,-0.589463,0.519671
3.4,8,-0.653095,0.572088
3.4,9,-0.661478,0.58171
3.4,10,-0.674297,0.592129
3.4,11,-0.687923,0.602833
3.4,12,-0.700599,0.614034
3.4,13,-0.713701,0.625374
3.4,14,-0.727687,0.637672
3.4,15,-0.742845,0.651
3.4,16,-0.760165,0.665863
3.4,17,-0.782357,0.685003
3.4,18,-0.801795,0.702038
3.4,19,-0.823593,0.72002
3.4,20,-0.846461,0.741165
3.4,21,-0.872569,0.76502
3.4,22,-0.961011,0.861463
3.4,23,-1.00097,0.892647
3.4,24,-1.04825,0.926647
3.4,25,-1.09773,0.973967
3.4,26,-1.15426,1.02369
3.4,27,-1.21355,1.07756
3.4,28,-1.28224,1.1394
3.4,29,-1.36255,1.21236
3.4,30,-1.45456,1.29577
3.4,31,-1.63678,1.46178
3.4,32,-1.76509,1.57607
3.4,33,-1.91469,1.70929
3.4,34,-2.08723,1.86446
3.4,35,-2.28989,2.04155
3.4,36,-2.59753,2.32431
3.4,37,-2.87797,2.55939
3.4,38,-3.2016,2.83502
3.4,39,-3.64749,3.22002
3.4,40,-4.10067,3.599
3.4,41,-4.69206,4.08124
3.4,42,-5.31703,4.57463
3.4,43,-6.10352,5.1868
3.4,44,-7.00692,5.87893
3.4,45,-7.9952,6.59081
3.4,46,-9.23176,7.45911
3.4,47,-10.5363,8.33549
3.4,48,-11.9381,9.24363
3.4,49,-13.1813,10.0472
3.4,50,-13.8375,10.576
3.5,5,-0.511429,0.443249
3.5,6,-0.51027,0.440523
3.5,7,-0.621854,0.547036
3.5,8,-0.63456,0.560285
3.5,9,-0.64538,0.569574
3.5,10,-0.657672,0.580388
3.5,11,-0.669161,0.590556
3.5,12,-0.682023,0.601779
3.5,13,-0.695111,0.613139
3.5,14,-0.709298,0.625462
3.5,15,-0.72467,0.639027
3.5,16,-0.742223,0.65436
3.5,17,-0.764686,0.6738
3.5,18,-0.784622,0.691356
3.5,19,-0.80671,0.711049
3.5,20,-0.830641,0.732824
3.5,21,-0.858149,0.757603
3.5,22,-0.948489,0.856276
3.5,23,-0.990382,0.889336
3.5,24,-1.0392,0.925608
3.5,25,-1.0912,0.975426
3.5,26,-1.15016,1.02753
3.5,27,-1.21237,1.08454
3.5,28,-1.28425,1.14947
3.5,29,-1.3684,1.22612
3.5,30,-1.46391,1.31355
3.5,31,-1.65169,1.48506
3.5,32,-1.78478,1.60382
3.5,33,-1.93929,1.74157
3.5,34,-2.11644,1.90176
3.5,35,-2.32338,2.08313
3.5,36,-2.63745,2.37068
