3.4;26;31.0279;30.6502;-1.02538;0.846103
3.4;27;32.2257;31.8583;-1.04786;0.865167
3.4;28;33.4252;33.0664;-1.07296;0.885347
3.4;29;34.6262;34.2745;-1.15956;0.977118
3.4;30;35.8286;35.4827;-1.19318;0.998915
3.4;31;37.0322;36.6909;-1.23235;1.02386
3.4;32;38.2369;37.899;-1.27322;1.05613
3.4;33;39.4427;39.1072;-1.31339;1.08903
3.4;34;40.6492;40.3154;-1.36025;1.12841
3.4;35;41.8566;41.5236;-1.40963;1.16841
3.4;36;43.0646;42.7318;-1.46769;1.21802
3.4;37;44.2731;43.94;-1.53656;1.27469
3.4;38;45.4822;45.1482;-1.68041;1.40052
3.4;39;46.6916;46.3565;-1.77239;1.47942
3.4;40;47.9014;47.5647;-1.88494;1.57109
3.4;41;49.1114;48.7729;-2.01476;1.68248
3.4;42;50.3217;49.9812;-2.17261;1.81266
3.4;43;51.5321;51.1894;-2.42027;2.03461
3.4;44;52.7427;52.3976;-2.64982;2.22068
3.4;45;53.9533;53.6059;-2.92621;2.45229
3.4;46;55.164;54.8141;-3.31638;2.78014
3.4;47;56.3748;56.0224;-3.73819;3.12227
3.4;48;57.5855;57.2306;-4.28365;3.56825
3.4;49;58.7962;58.4389;-4.90373;4.05525
3.4;50;60.0069;59.6471;-5.71173;4.67914
3.6;5;5.7228;5.2356;-6.69335;5.41841
3.6;6;7.0258;6.4249;-7.83744;6.23174
3.6;7;8.2912;7.6151;-9.34517;7.26409
3.6;8;9.5259;8.8059;-11.1055;8.39318
3.6;9;10.7373;9.997;-13.229;9.66857
3.6;10;11.9318;11.1883;-15.5916;10.9778
3.6;11;13.1142;12.3797;-0.842935;0.604996
3.6;12;14.2884;13.5713;-0.728985;0.615913
3.6;13;15.4571;14.7629;-0.788015;0.660808
3.6;14;16.6223;15.9546;-0.80263;0.675628
3.6;15;17.7858;17.1463;-0.816647;0.686056
3.6;16;18.9485;18.3381;-0.833205;0.698559
3.6;17;20.1115;19.5299;-0.849231;0.711825
3.6;18;21.2752;20.7218;-0.865669;0.725162
3.6;19;22.4403;21.9137;-0.88255;0.739147
3.6;20;23.6069;23.1057;-0.900116;0.753634
3.6;21;24.7754;24.2976;-0.919272;0.768861
3.6;22;25.9457;25.4896;-0.944295;0.789427
3.6;23;27.118;26.6817;-0.964469;0.805593
3.6;24;28.2922;27.8737;-0.986527;0.822217
3.6;25;29.4684;29.0658;-1.00802;0.840909
3.6;26;30.6464;30.2579;-1.03259;0.860928
3.6;27;31.8262;31.45;-1.1178;0.952014
3.6;28;33.0076;32.6421;-1.15108;0.974309
3.6;29;34.1905;33.8343;-1.19045;0.999808
3.6;30;35.3748;35.0264;-1.23181;1.03301
3.6;31;36.5605;36.2186;-1.27275;1.06742
3.6;32;37.7474;37.4107;-1.32078;1.10848
3.6;33;38.9353;38.6029;-1.37203;1.15112
3.6;34;40.1242;39.7951;-1.43184;1.20307
3.6;35;41.314;40.9873;-1.50405;1.26324
3.6;36;42.5045;42.1795;-1.65237;1.39466
3.6;37;43.6957;43.3717;-1.7492;1.4789
3.6;38;44.8875;44.5639;-1.86723;1.57681
3.6;39;46.0799;45.7561;-2.0036;1.69517
3.6;40;47.2727;46.9483;-2.16845;1.8331
3.6;41;48.4659;48.1405;-2.42626;2.06574
3.6;42;49.6593;49.3327;-2.66514;2.26121
3.6;43;50.8531;50.525;-2.94915;2.49855
3.6;44;52.0471;51.7172;-3.35133;2.84079
3.6;45;53.2413;52.9094;-3.77427;3.1906
3.6;46;54.4356;54.1016;-4.34001;3.65023
3.6;47;55.63;55.2939;-4.9668;4.14377
3.6;48;56.8245;56.4861;-5.77794;4.77138
3.6;49;58.019;57.6783;-6.7566;5.50085
3.6;50;59.2136;58.8706;-7.88474;6.31374
3.8;5;5.6415;5.1855;-9.3614;7.3243
3.8;6;6.9331;6.3614;-11.0571;8.42186
3.8;7;8.19;7.5381;-13.0724;9.6442
3.8;8;9.4173;8.7153;-15.2555;10.8735
3.8;9;10.6217;9.8928;-0.81629;0.588928
3.8;10;11.8088;11.0705;-0.702741;0.599133
3.8;11;12.9833;12.2483;-0.762213;0.64486
3.8;12;14.1488;13.4262;-0.775505;0.658793
3.8;13;15.3081;14.6042;-0.789048;0.668766
3.8;14;16.4632;15.7822;-0.80475;0.680813
3.8;15;17.6157;16.9603;-0.819864;0.693418
3.8;16;18.7669;18.1384;-0.835339;0.706245
3.8;17;19.9176;19.3165;-0.851203;0.719504
3.8;18;21.0685;20.4947;-0.868112;0.733225
3.8;19;22.2203;21.673;-0.886153;0.748258
3.8;20;23.3731;22.8512;-0.910271;0.767839
3.8;21;24.5273;24.0295;-0.929873;0.783759
3.8;22;25.6831;25.2078;-0.951098;0.800121
3.8;23;26.8406;26.3861;-0.97217;0.818775
3.8;24;27.9998;27.5645;-0.9963;0.838758
3.8;25;29.1607;28.7428;-1.08066;0.929664
3.8;26;30.3233;29.9212;-1.11453;0.952879
3.8;27;31.4876;31.0996;-1.1543;0.979379
3.8;28;32.6535;32.278;-1.19635;1.01372
3.8;29;33.8209;33.4564;-1.23858;1.05016
3.8;30;34.9897;34.6348;-1.28835;1.09316
3.8;31;36.1598;35.8133;-1.34179;1.13846
3.8;32;37.3312;36.9917;-1.40434;1.19365
